sample_id	CHROMOSOME	Arm	GAIN	LOSS	LOH
F18000240	10	q	1	9	0
F18000240	11	q	0	17	0
F18000240	12	q	9	5	0
F18000240	13	q	0	16	0
F18000240	14	q	0	1	3
F18000240	15	q	1	9	4
F18000240	16	q	0	0	0
F18000240	17	q	5	0	0
F18000240	18	q	1	3	0
F18000240	19	q	7	49	0
F18000240	20	q	1	11	0
F18000240	21	q	4	2	0
F18000240	22	q	18	10	0
F18000240	Y	q	0	0	0
F18000240	X	q	0	0	0
F18000254	1	p	2	0	0
F18000254	2	p	0	2	4
F18000254	3	p	21	0	8
F18000254	4	p	0	0	0
F18000254	5	p	0	0	0
F18000254	6	p	0	0	11
F18000254	7	p	0	0	0
F18000254	8	p	0	0	0
F18000254	9	p	0	0	55
F18000254	10	p	1	0	0
F18000254	11	p	0	0	0
F18000254	12	p	8	9	0
F18000254	16	p	0	0	11
F18000254	17	p	0	0	0
F18000254	18	p	13	0	0
F18000254	19	p	0	0	0
F18000254	20	p	0	0	0
F18000254	21	p	0	0	0
F18000254	Y	p	0	0	0
F18000254	X	p	0	0	0
F18000254	1	q	0	0	0
F18000254	2	q	0	0	0
F18000254	3	q	0	0	3
F18000254	4	q	0	0	0
F18000254	5	q	0	0	2
F18000254	6	q	0	0	0
F18000254	7	q	0	0	0
F18000254	8	q	0	0	2
F18000254	9	q	0	0	0
F18000254	10	q	0	6	0
F18000254	11	q	0	17	18
F18000254	12	q	0	0	0
F18000254	13	q	0	4	0
F18000254	14	q	0	1	0
F18000254	15	q	1	8	0
F18000254	16	q	0	0	0
F18000254	17	q	24	0	0
F18000254	18	q	15	0	0
F18000254	19	q	0	0	0
F18000254	20	q	0	0	0
F18000254	21	q	0	0	0
F18000254	22	q	0	0	0
F18000254	Y	q	0	0	0
F18000254	X	q	0	0	0
H10000788	1	p	0	83	0
H10000788	2	p	0	0	0
H10000788	3	p	0	91	0
H10000788	4	p	0	99	0
H10000788	5	p	97	0	0
H10000788	6	p	1	0	0
H10000788	7	p	0	0	0
H10000788	8	p	5	0	0
H10000788	9	p	0	64	0
H10000788	10	p	0	99	0
H10000788	11	p	0	0	0
H10000788	12	p	0	99	0
H10000788	16	p	0	5	0
H10000788	17	p	0	0	0
H10000788	18	p	0	0	0
H10000788	19	p	0	0	0
H10000788	20	p	32	0	0
H10000788	21	p	0	0	0
H10000788	Y	p	0	0	0
H10000788	X	p	0	0	0
H10000788	1	q	0	0	0
H10000788	2	q	0	0	2
H10000788	3	q	0	67	0
H10000788	4	q	0	99	0
H10000788	5	q	0	41	2
H10000788	6	q	0	0	0
H10000788	7	q	0	1	0
H10000788	8	q	29	1	4
H10000788	9	q	1	0	0
H10000788	10	q	0	99	0
H10000788	11	q	0	25	3
H10000788	12	q	0	99	0
H10000788	13	q	0	3	2
H10000788	14	q	6	0	0
H10000788	15	q	13	5	0
H10000788	16	q	0	0	0
H10000788	17	q	0	0	0
H10000788	18	q	0	47	0
H10000788	19	q	7	0	0
H10000788	20	q	8	0	0
H10000788	21	q	0	1	0
H10000788	22	q	0	99	0
H10000788	Y	q	0	0	0
H10000788	X	q	4	0	0
H11000871	1	p	49	27	0
H11000871	2	p	94	0	0
H11000871	3	p	18	19	0
H11000871	4	p	99	0	0
H11000871	5	p	99	0	0
H11000871	6	p	35	0	0
H11000871	7	p	54	0	10
H11000871	8	p	32	67	0
H11000871	9	p	90	0	0
H11000871	10	p	0	0	0
H11000871	11	p	0	35	0
H11000871	12	p	28	70	0
H11000871	16	p	18	1	11
H11000871	17	p	0	0	99
H11000871	18	p	0	45	0
H11000871	19	p	80	17	0
H11000871	20	p	84	0	0
H11000871	21	p	85	0	0
H11000871	Y	p	0	0	0
H11000871	X	p	0	0	10
H11000871	1	q	97	0	2
H11000871	2	q	38	27	1
H11000871	3	q	32	4	16
H11000871	4	q	66	10	0
H11000871	5	q	27	56	0
H11000871	6	q	5	4	36
H11000871	7	q	66	0	0
H11000871	8	q	57	0	0
H11000871	9	q	57	40	0
H11000871	10	q	12	66	2
H11000871	11	q	0	29	0
H11000871	12	q	98	0	0
H11000871	13	q	21	77	0
H11000871	14	q	59	39	0
H11000871	15	q	0	24	0
H11000871	16	q	0	98	0
H11000871	17	q	76	0	39
H11000871	18	q	12	17	31
H11000871	19	q	61	5	0
H11000871	20	q	98	0	0
H11000871	21	q	94	0	0
H11000871	22	q	0	98	0
H11000871	Y	q	0	0	0
H11000871	X	q	94	0	7
H12003857	1	p	98	0	0
H12003857	2	p	90	0	6
H12003857	3	p	44	51	0
H12003857	4	p	92	0	0
H12003857	5	p	98	0	0
H12003857	6	p	99	0	0
H12003857	7	p	99	0	0
H12003857	8	p	0	99	0
